geneid,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R
gene_9894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.179355975,0,1.800518183,0
gene_19233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_19992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_18355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_19335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_15738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_12110,-0.160191559,0,-1.182113273,0,0,0,0,0,0,0,0,0,1.119435372,0,0,0,-1.445133355,0
gene_3490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_9655,0.018181594,0,-1.308906727,0,-0.148370312,0,0,0,3.405926664,0,2.73622681,0,-1.074106425,0,-1.6295235,0,0,0
gene_17264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_3015,-0.031207791,0,0.442208718,0,0.161374459,0,-0.797262821,0,-0.975895324,0,-0.135253174,0,-0.619632357,0,-0.016414471,0,0.727121436,0
gene_8004,-0.153503019,0,-0.486530624,0,-0.302980986,0,-0.310395508,0,-0.27207476,0,0.036126319,0,0.116815989,0,0.268286937,0,0.116336388,0
gene_2128,0.063070572,0,0.149852256,0,0.088580779,0,0.666484772,0,0.803225063,0,0.134460928,0,-0.001260309,0,1.778530853,0,1.737127168,0
gene_12828,-0.188553651,0,-0.138898511,0,0.278878955,0,-3.041055229,0,0.154664027,0,2.481435232,0,-0.621247748,0,-1.324020838,0,-0.365527055,0
gene_13649,-0.553756936,0,-0.365521852,0,0.203402332,0,0.173694852,0,-0.13953915,0,-0.315149135,0,-0.14191584,0,-0.149855639,-1.774173187,-0.048774748,-2.430679261
gene_10098,0.299086027,0,0.365355506,0,-0.211997832,0,-0.070121048,0,-0.049669239,0,0.017665385,0,0.680770228,0,0.02838512,0,-0.717530327,0
gene_15793,0.27305757,0,0.309016462,0,0.036723261,0,0.404277909,0,0.223231528,0,-0.184756568,0,-0.140736918,0,-0.568645162,0,-0.467494235,0
gene_5397,0.57673047,0,0.026647901,0,-0.591208841,0,-0.32000561,0,0.159061005,0,0.470950227,0,-1.162027568,0,-2.652810414,0,-1.45396875,0
gene_15340,0.600843244,0,0.534322023,0,-0.077674872,0,0.822473412,0,0.680960902,0,-0.138251207,0,-0.088239738,0,0.371521291,0,0.420087844,1.905859757
gene_10063,0.283135574,0,0.257869246,0,-0.044205297,0,-0.041058159,0,-0.2860109,0,-0.250750881,0,-0.656418239,0,-0.704003543,0,-0.085465996,0
gene_17827,0.30085094,0,0.66985408,0,-0.050278156,0,-1.040619755,0,-0.811287219,0,0.179476227,0,-1.546578681,0,-0.193759175,0,1.982625069,0
gene_12621,0.218660489,0,0.25590489,0,0.037173045,0,0.325858273,0,0.524377529,0,0.186629135,0,0.411017166,0,1.754319337,0,1.295340761,0
gene_575,0,0,0,0,0,0,0,0,0,0,0,0,2.271953285,0,0,0,-2.740870694,0
gene_4343,0.084478698,0,0.143558195,0,0.057983876,0,0.17283322,0,0.197952537,0,0.024475428,0,0.00501177,0,-0.505577145,0,-0.547776118,0
gene_16651,0.53119434,0,0.576895552,0,0.045641961,0,0.666033963,0,0.720623826,0,0.052438623,0,0.558281228,0,2.403336718,0,1.790228008,0
gene_8728,0.160488223,0,-0.322204001,0,-0.263241671,0,0.518131675,0,-0.105109227,0,-0.623643553,0,-0.050213401,0,0.282696978,0,0.28524048,0
gene_16239,-0.361980293,0,-0.47554872,0,-0.105802894,0,-0.846120045,0,-0.934692779,0,-0.090827254,0,0.022969803,0,0.192813591,0,0.129872015,0
gene_10488,-0.156194948,0,-0.38346789,0,-0.214323989,0,-0.879817372,0,-0.937354203,0,-0.057215007,0,0.303962641,0,0.432847459,1.745516542,0.086752678,0
gene_9951,-0.078141519,0,0.330771759,0,0.384531602,0,-0.049915082,0,0.195099464,0,0.240748515,0,0.428768457,0,2.117190309,0,1.623506465,0
gene_10929,0.056264233,0,0.190497733,0,0.1280924,0,-0.028401188,0,-0.223064402,0,-0.194728027,0,0.586982341,0,0.014474907,0,-0.614541507,0
gene_11136,0.355492832,0,0.653680764,0,-0.1347348,0,0.442459254,0,0.53736427,0,0.103920208,0,1.085944425,0,1.649822592,0,0.512784075,0
gene_9708,0.253391095,0,-0.180308948,0,-0.411914998,0,-0.184614786,0,-0.089677282,0,0.089456124,0,0.206305874,0,0.441496709,0,0.193451579,0
gene_5439,-0.171883154,0,-0.322473379,0,-0.142870637,0,-1.083452734,0,-1.024036696,0,0.057107253,0,0.382465437,0,-0.090226129,0,-0.512504982,0
gene_12198,-0.338839993,0,-0.381538202,0,-0.034361034,0,-0.781317243,0,-0.920870198,0,-0.139819686,0,0.125094086,0,0.36308059,0,0.196906754,0
gene_10380,0.319896647,0,0.348320336,0,0.003196263,0,0.762137882,0,0.851504714,0,0.094489476,0,0.713137177,0,0.531556912,0,-0.234979047,0
gene_8478,0.036602142,0,0.079704064,0,0.044066158,0,0.487796049,0,0.630899998,0,0.141111124,0,0.144857702,0,1.462701369,0,1.277859099,0
gene_9939,0.271497264,0,0.363035982,0,0.073560054,0,0.433192502,0,0.464637279,0,0.034802142,0,0.583823933,0,0.122168972,0,-0.506832774,0
gene_13729,-0.180491459,0,0.091284893,0,0.253902259,0,-3.216209494,0,-3.051586138,0,0.187413008,0,0.061919827,0,0.3075518,0,0.205389297,0
gene_6405,-0.341819243,0,-0.681700088,0,0.0713199,0,1.37558338,0,0.714846638,0,-0.620408551,0,-0.051598724,0,-1.404780289,0,-1.481010016,0
gene_11260,0.081899588,0,-0.059616599,0,-0.137701242,0,-0.367381721,0,-0.423145538,0,-0.057063533,0,0.611988968,0,0.641349569,0,-0.011722461,0
gene_8203,0.234780087,0,0.220769352,0,-0.0137428,0,0.099876925,0,0.007254114,0,-0.098239195,0,0.255302246,0,0.70016007,0,0.405222884,0
gene_12091,-0.205821463,0,-0.385056263,0,-0.014942488,0,0.139214779,0,-0.679568431,0,-0.806766542,0,-0.107898139,0,-1.006177991,0,-0.922540146,0
gene_7379,-0.029726829,0,-0.070359906,0,-0.025470643,0,-0.075983428,0,0.069424315,0,0.144935467,0,0.103936011,0,0.072475379,0,-0.072637582,0
gene_19704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_6351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_5124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_6069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_12664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_17984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_6257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_2436,0.117540524,0,-0.00974588,0,-0.120563022,0,0.759375967,0,0.50149027,0,-0.256531925,0,0.348176327,1.287864567,0.415334742,0,0.027381786,0
gene_9908,-0.106562296,0,0.025431434,0,0.132232552,0,-0.041600417,0,0.045611203,0,0.087548856,0,0.230761241,0,0.300539386,0,0.032171228,0
gene_7489,-0.067712513,0,0.498121601,0,0.377077238,0,-0.450914727,0,-0.03129727,0,0.395712285,0,-0.240219929,0,0.390628455,0,0.632455996,0
gene_14064,-0.001672935,0,0.767993877,0,0.403845881,0,0.479601211,0,0.901600615,0,0.320025373,0,2.478871962,0,1.764603862,0,-0.863281892,0
gene_8543,0.075286119,0,-0.809128653,0,-0.866030857,0,-0.866704587,0,-0.98506395,0,-0.134533523,0,-1.201525311,0,0.134317175,0,1.298322223,0
gene_13370,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.704435305,0,-1.353143325,0,0
gene_14386,0.289154646,0,0.25911625,0,-0.051017726,0,-0.06506857,0,-0.785744138,0,-0.629258378,0,0.154792876,0,0.197955335,0,-0.001300821,0
gene_8391,0.267707037,0,0.465885941,0,0.189877808,0,-0.178298896,0,-0.405956263,0,-0.228954748,0,-0.214476578,0,-1.096523041,0,-0.906650199,0
gene_8748,-0.900086223,0,-0.197102135,0,0.705386672,0,-0.074654779,0,-0.323970022,0,-0.245760543,0,0.196340816,0,-0.729127458,0,-0.959200914,0
gene_5011,0.315483535,0,0.326804921,0,0.002927032,0,0.330846262,0,0.22893052,0,-0.102298271,0,0.440307399,0,0.389421929,0,-0.088359558,0
gene_17160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_491,-0.967343908,0,-0.519768004,0,0.437668554,0,0.156361869,0,0.166851474,0,0.011638115,0,0.232051881,0,0.267711953,0,-0.005161556,0
gene_17919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_1661,0.046568408,0,-0.65930449,0,-0.515357439,0,0.305558882,0,0.260016009,0,-0.045855672,0,0.554364197,0,0.974108087,0,0.361399995,0
gene_7106,0.549679672,0,-0.375145705,0,-0.783314275,0,0.637068487,0,0.293706001,0,-0.381124601,0,-0.572176761,0,-1.80702068,0,-0.995873775,0
gene_12599,-0.428078987,0,-2.73836883,0,-0.816106458,0,0.430528687,0,0.356633668,0,-0.068026995,0,-0.256944257,0,-0.658574495,0,-0.344438773,0
gene_10494,-0.108789839,0,0.346147177,0,0.4492277,0,0.421434448,0,0.192565274,0,-0.235877158,0,0.425804572,0,0.825302525,0,0.360292875,0
gene_11429,-0.053561889,0,0.812987599,0,0.740562648,0,0.183916955,0,0.458012746,0,0.252350285,0,0.276623717,0,0.132660937,0,-0.18887946,0
gene_7452,-0.028877295,0,0.165317481,0,0.194127748,0,-0.104558991,0,-0.283359683,0,-0.183423827,0,-0.249748381,0,-0.379999092,0,-0.168092278,0
gene_11183,0.306141559,0,0.521344906,0,0.140117215,0,0.130482407,0,0.585530134,0,0.424455319,0,0.478326579,0,-0.19867056,0,-0.644648674,0
gene_11916,0,0,0,0,0,0,0,0,0,0,0,0,-1.085431127,0,-1.655014442,0,0,0
gene_5480,0.422685175,0,0.156786645,0,-0.32644218,0,0.961449893,0,0.263278294,0,-0.682792061,0,-0.830846577,0,-0.548157236,0,0.271085778,0
gene_10336,0.254848263,0,0.267118716,0,-0.003434037,0,0.390237312,0,0.096686193,0,-0.298342864,0,-0.239349318,0,-0.262965944,0,-0.063307255,0
gene_8768,0,0,0,0,0,0,1.480185866,0,0,0,-0.917463957,0,0,0,-0.068920922,0,0,0
gene_16314,0.119647975,0,0.131261817,0,0.015369863,0,0.436347947,0,0.360328061,0,-0.07699717,0,-0.007607343,0,-0.445417944,0,-0.477487677,0
gene_15216,-0.32946733,0,0.209528974,0,0.537765403,0,-0.108295845,0,-0.216699959,0,-0.115379302,0,-0.272656556,0,0.143306724,0,0.375448203,0
gene_14570,-0.237531965,0,-0.062501194,0,0.178718474,0,-0.169278996,0,-0.311144637,0,-0.138904079,0,-0.190512692,0,0.168458753,0,0.31789272,0
gene_8598,-0.106273728,0,-0.685111615,0,-0.480242207,0,0.360692616,0,-0.491593037,0,-0.825602945,0,0.483898977,0,0.676734365,0,0.140961656,0
gene_16593,0.840605121,0,0.093399958,0,-0.833466424,0,0.478926171,0,-0.120436492,0,-0.618393466,0,1.309550163,0,-1.192890998,0,-2.512262881,0
gene_12414,0.064838464,0,-0.351565302,0,-0.207795206,0,0.941084342,0,0.855126076,0,-0.104453087,0,0.514267288,0,0.817289932,0,0.222113963,0
gene_10885,-0.170852245,0,0.027994991,0,0.167387371,0,0.93568285,0,-0.461704739,0,-1.277027349,0,0.088060072,0,-0.725661292,0,-0.854072387,0
gene_532,-0.291786316,0,-1.284197533,0,-0.311184873,0,-0.07611272,0,0.773277259,0,0.707695094,0,1.200632957,0,1.170839073,0,-0.164025037,0
gene_12168,0.071759927,0,0.432823222,0,0.326352909,0,0.069604506,0,0.511035369,0,0.443835864,0,0.107282598,0,-0.336418747,0,-0.483356054,0
gene_3342,-0.590676442,0,-0.455253742,0,0.202073402,0,-0.172839709,0,-0.573362672,0,-0.382953534,0,-0.488721771,0,-0.510509404,0,-0.063380178,0
gene_9023,-0.618286371,0,0.032130091,0,0.69084424,0,-0.58185778,0,-0.745922917,0,-0.166035279,0,-0.102721928,0,-0.142952967,0,-0.076344124,0
gene_14618,0.837272565,0,0.257065566,0,-0.387691005,0,1.141114085,0,0.772051362,0,-0.366987453,0,0.461728608,0,-1.512646202,0,-1.934535767,0
gene_11257,0.269637594,0,-0.340148609,0,-0.581113729,0,0.308023855,0,0.039683337,0,-0.272578886,0,-0.161785468,0,0.387502307,0,0.509782913,0
gene_6296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_17362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_18122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_19347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_17152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_17087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_11898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_18974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_16760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_19859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_8781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_10111,0.033651933,0,-0.044995462,0,-0.074611935,0,-0.069749602,0,-0.065097403,0,0.001222187,0,0.380220284,0,0.660140486,0,0.238285729,0
gene_1785,0.529429388,0,0.566989678,0,0.019283174,0,0.454954835,0,0.642605478,0,0.206408416,0,-0.118714537,0,-0.98457717,0,-0.903199047,0
gene_14855,0.325207976,0,0.263741512,0,-0.074685347,0,0.871874836,0,0.561563331,0,-0.304324465,0,-0.340026744,0,0.259113407,0,0.554925934,0
gene_16820,0.223940094,0,0.315649553,0,0.094068921,0,0.1380788,0,0.172934363,0,0.032985635,0,0.033714745,0,0.230434421,0,0.157269259,0
gene_2283,0.157515817,0,0.105507983,0,-0.052627196,0,0.349257552,0,0.440573927,0,0.089807707,0,0.133056011,0,0.603053567,0,0.425806024,0
gene_10870,0.986824317,0,0.88617249,0,-0.340666251,0,0.514070123,0,0.994361585,0,0.480677807,0,-0.44571019,0,-0.667349316,0,-0.243254352,0
gene_10021,-0.571357749,0,-0.474079943,0,0.124718576,0,-0.11811632,0,-0.030813998,0,0.086950152,0,0.137926738,0,-0.408090494,0,-0.586831387,0
gene_6993,0.219569628,0,-0.413662139,0,-0.24676613,0,4.000955389,0,3.568927181,0,-0.587850588,0,0.328997148,0,0.703175384,0,0.304987847,0
gene_15716,-0.025419571,0,0.205560004,0,0.232716597,0,0.458192134,0,0.430762206,0,-0.027124146,0,0.562047683,0,0.356198115,0,-0.244269646,0
gene_7817,-0.175836717,0,-0.224670645,0,-0.044166528,0,-0.047586762,0,-0.166998234,0,-0.121605909,0,0.414815835,0,0.246665836,0,-0.208653436,0
gene_2906,0.280341972,0,0.510736212,0,0.172247871,0,0.654779103,0,0.726017422,0,0.07467008,0,-0.292006056,0,-0.798187298,0,-0.542884952,0
gene_3874,-0.080114604,0,-0.155693031,0,-0.067403189,0,0.00664246,0,-0.103629525,0,-0.112296609,0,0.047495332,0,-0.076082073,0,-0.162259282,0
gene_16693,0.113046313,0,0.105650792,0,-0.006220935,0,-0.382590402,0,-0.619742422,0,-0.246621431,0,0.199416573,0,0.594973876,0,0.353638416,0
gene_1018,0.529309462,0,0.978405371,0,0.282042283,0,-0.208224729,0,-0.457898923,0,-0.233653515,0,0.010971139,0,0.205565137,0,0.156377194,0
gene_428,0.125629613,0,-0.269665728,0,-0.388176812,0,0.402044123,0,0.352572952,0,-0.058885568,0,0.342630592,0,0.634164616,0,0.252364502,0
gene_10415,0.244862895,0,-0.015764739,0,-0.238487868,0,-0.044577072,0,0.262351241,0,0.309594379,0,0.64915647,0,0.293645739,0,-0.40053775,0
gene_2643,0.163202959,0,0.138629394,0,-0.022243212,0,0.865838613,0,0.930660937,0,0.071928275,0,0.280772105,0,0.285352417,0,-0.033297217,0
gene_12054,-0.133774518,0,-0.071494121,0,0.06430728,0,-0.088479422,0,-0.202494024,0,-0.115246024,0,0.276161026,0,0.151129079,0,-0.165549099,0
gene_10882,-0.223817157,0,0.000768161,0,0.227451568,0,0.136345138,0,0.338189907,0,0.201550341,0,0.084786057,0,0.200650225,0,0.076809487,0
gene_6426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_18194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_2998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_19755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_6248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_17409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_5169,0.298453081,0,0,0,-0.124304105,0,-0.105215722,0,-0.771331849,0,-0.549632964,0,1.373417571,0,3.09114945,0,0.83139117,0
gene_3046,-0.110620437,0,0.386969312,0,0.140297744,0,0.637071311,0,-0.36198118,0,-0.677085922,0,-3.389974167,0,-0.59788902,0,2.981494686,0
gene_12959,0,0,0,0,0,0,0,0,0,0,0,0,-1.092766426,0,0.012120743,0,1.384743235,0
gene_5806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_19389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_10035,0.014522157,0,-0.036627823,0,-0.047743288,0,-0.550881181,0,-0.942479059,0,-0.400274838,0,0.242449486,0,0.630814097,0,0.349163251,0
gene_14489,-0.178364518,0,-0.74326278,0,-0.514988511,0,0.608378656,0,0.350710981,0,-0.261285916,0,0.186208675,0,0.790837122,0,0.564448957,0
gene_1365,0.639981087,0,0.068193608,0,-0.550248201,0,0.548235203,0,0.084147427,0,-0.447540547,0,0.16118376,0,-0.394661933,0,-0.588633074,0
gene_1411,-0.077929781,0,0.291243116,0,0.359281132,0,0.138477928,0,0.029250992,0,-0.116152396,0,0.362871329,0,0.127549002,0,-0.274928645,0
gene_1505,0.075561865,0,-0.165868631,0,-0.238018539,0,-0.49443785,0,-0.530717662,0,-0.037249841,0,0.044911463,0,-0.874947141,0,-0.958807865,0
gene_4290,0.331232647,0,0.300164446,0,-0.037083632,0,-0.277416309,0,-0.167914682,0,0.110743195,0,0.027939733,0,-0.670404014,0,-0.736394912,0
gene_13038,0.010170737,0,0.901981509,0,0.361578641,0,-0.954920241,0,-0.662067016,0,0.227808852,0,-0.956551075,0,-0.73546103,0,0.273981736,0
gene_13056,-0.023561707,0,-0.070110472,-1.979674304,-0.040843916,-1.490307368,0.145816771,0,0.243698015,0,0.097511964,0,-0.474584007,0,-0.340766959,0,0.094707437,0
gene_2435,0.056736602,0,-0.255304907,0,-0.300030574,0,0.294225117,0,0.030665094,0,-0.265266684,0,-0.327590846,0,0.469112529,0,0.756958451,0
gene_9297,0.097860183,0,0.05520673,0,-0.040568673,0,0.216196669,0,0.203133672,0,-0.012926648,0,-0.010803038,0,0.186242777,0,0.15748779,0
gene_9279,-0.240301773,0,-0.443093362,0,-0.193868526,0,-0.463135867,0,-0.535806665,0,-0.073915262,0,0.215863726,0,0.119208435,0,-0.135644272,0
gene_943,-0.153512762,0,0.100106879,0,0.250882185,0,-0.105708863,0,-0.157575026,0,-0.04784325,0,-0.194171405,0,0.035310429,0,0.192542611,0
gene_4401,0.147728153,0,1.123072073,0,0.175811489,0,0.885277078,0,1.199743578,0,0.315492996,0,0.158252524,0,0.668901805,0,0.468804681,0
gene_4487,0.156212043,0,1.857738022,0,0.086663328,0,0.032882495,0,-1.069461975,0,-0.777149365,0,0.467960126,0,0.061775603,0,-0.542376822,0
gene_11112,-0.323332501,0,-0.68032308,0,-0.333946745,0,-1.027385054,0,-1.11212352,0,-0.088139064,0,0.214298849,0,-0.492624858,0,-0.745734473,0
gene_7056,-0.413123856,0,-0.200539745,0,0.283659957,0,-0.768396632,0,-1.254480709,0,-0.522440348,0,-0.201481114,0,-0.318743736,0,-0.146822479,0
gene_6984,-0.226872704,0,0.193971852,0,0.302012867,0,-3.081976593,0,-2.664458379,0,0.412362588,0,-0.383352872,0,0.188279119,0,0.550441367,0
gene_1861,-0.152338156,0,0.008685001,0,0.160222968,0,0.276365739,0,-0.179589647,0,-0.457470106,0,0.371326768,0,-0.084304033,0,-0.495898831,0
gene_1817,-0.016517252,0,0.004712456,0,0.023636469,0,-0.372138226,0,-0.435417976,0,-0.067879118,0,-0.148132308,0,0.031294117,0,0.139325457,0
gene_7207,-0.23482145,0,-0.106588692,0,0.133563639,0,0.21344524,0,-0.012784874,0,-0.226869074,0,-0.184528278,0,0.170338659,0,0.315596057,0
gene_7242,-0.035266325,0,0.036229396,0,0.074194099,0,0.167371819,0,0.255444941,0,0.085844003,0,0.020780052,0,0.801012812,0,0.740339988,0
gene_15111,-0.052751959,0,0.347183145,0,0.394811839,0,-0.256444828,0,-0.278053716,0,-0.028364521,0,0.490903339,0,0.986853222,0,0.456448618,0
gene_2727,0.552300061,0,1.165583214,0,0.169175461,0,-0.326197418,0,-0.694523868,0,-0.32481104,0,-0.239378424,0,0.5114368,0,0.70939654,0
gene_4119,-0.128623671,0,-0.005660161,0,0.125126307,0,0.313124262,0,0.313022245,0,-0.00122503,0,-0.184007921,0,0.022938568,0,0.167560013,0
gene_4067,0.024556016,0,0.650548939,0,0.567509029,0,0.602032686,0,0.05624906,0,-0.554788723,0,0.247588384,0,0.336684324,0,0.049620216,0
gene_4093,0.357958794,0,0.443029245,0,0.07612211,0,0.621945032,0,0.45151382,0,-0.183308187,0,0.031522264,0,0.902002527,0,0.828264184,0
gene_8708,0.144991783,0,0.090864108,0,-0.052320199,0,0.3497872,0,0.358209102,0,0.010550051,0,0.065776529,0,-0.220867518,0,-0.326624631,0
gene_10725,0,0,0,0,0,0,0,0,2.718683996,0,1.875237808,0,0.232203474,0,-0.040505586,0,-0.429029831,0
gene_16279,-0.578670555,0,-0.582178681,0,0.003506746,0,-0.477001247,0,-0.473740791,0,0.002956967,0,0.185183512,0,0.226015118,0,0.00067099,0
gene_15527,0.259119367,0,-0.970952487,0,-0.884641602,0,0.099981108,0,0.400046117,0,0.298929873,0,-0.647275449,0,-0.959462432,0,-0.330488399,0
gene_15019,-0.052108259,0,-0.070013119,0,-0.011819057,0,0.493416097,0,0.301606693,0,-0.191160297,0,-0.099884467,0,-0.448314491,0,-0.385634313,0
gene_15045,-0.263922283,0,-0.106896191,0,0.161193988,0,-0.44575306,0,-0.626461525,0,-0.182988487,0,0.043490873,0,0.034553782,0,-0.048737954,0
gene_12671,0.527643939,0,0.331099008,0,-0.208630864,0,0.909873144,0,0.349807581,0,-0.555836051,0,-0.122196284,0,0.437521677,0,0.511019653,0
gene_7727,0.139296582,0,-0.051596398,0,-0.165271085,0,0.64556768,0,0.248937235,0,-0.389427519,0,-0.659547972,0,0.210094762,0,0.820337336,0
gene_5004,-0.054448546,0,0.004897123,0,0.051474129,0,0.886043726,0,0.564169353,0,-0.337126482,0,-0.614969493,0,-0.557015178,0,0.115010727,0
gene_15383,-0.05592183,0,-0.33976124,0,-0.278212635,0,-0.508612593,0,-0.520008223,0,-0.011886393,0,0.144235198,0,-0.051045382,0,-0.234930193,0
gene_14981,-0.051455205,0,0.0438171,0,0.094091613,0,-0.241168674,0,0.185393045,0,0.433331175,0,0.56148726,0,0.369638996,0,-0.244432073,0
